code,name,pe,pb,eps,count,max,mean,min,volume_end,volume_start,year
YLD,Principal Exchange-Traded Funds Principal EDGE Active Income ETF,0,0,0,38,41.9548,39.90916053,35.44,51859.84211,72821.10526,3
OCUL,Ocular Therapeutix,0,5.325213,-1.739345,50,41.985,11.7501,4.12,15984888.24,4985716.12,4
CDR,西连购物中心,0,0.94973,-0.219485,252,41.9992,11.6637746,1.74,7143890.492,1598948.651,21
SENEB,Seneca Foods Corp,5.467836,0.121757,5.13,252,42,23.49854802,10.75,12085.89683,23060.31746,21
LTRPB,Liberty Tripadvisor Holdings Inc,0,0,-0.54,48,42,21.56547917,9.05,4074.875,6606.375,4
LKQ,LKQ Corporation,18.731601,2.265237,1.794294,179,42.03,16.77863128,2.045,35222430.14,30666858.43,14
TCBK,TriCo Bancshares,20.479143,2.319666,1.908283,252,42.03,18.90357143,7.625,999422.1508,460115.0794,21
COMM,CommScope Holding Company Inc.,28.965634,3.484831,1.066091,59,42.04,30.12322034,15.28,37158134.5,21986947.76,4
KFRC,K力,25.279433,6.956848,1.673297,252,42.05,14.02827381,2.4,3496117.841,4550281.746,21
VSM,"Versum Materials, Inc.",22.34346,33.850498,1.72847,23,42.08,34.39478261,22.7,10248729.25,20813907.73,1
FOCS,Focus Financial Partners Inc.,0,-3.277169,0,2,42.09,41.415,40.74,5524063,6288367,0
JUST,Goldman Sachs JUST U.S. Large Cap Equity ETF,0,0,0,3,42.095,40.725,39.27,575661.5,8643510,0
DM,多兰传媒,11.278175,1.010827,1.480736,47,42.16,29.35148936,12.8,8203480.542,3763116.217,3
EMQQ,EMQQ The Emerging Markets Internet & Ecommerce ETF,0,0,0,46,42.17,28.33910435,19.3399,2339906.652,131631.1739,3
BKU,BankUnited,6.637353,1.359973,6.028005,92,42.17,31.28195652,20.76,17490547.93,7988095.652,7
PERI,Perion Network Ltd,0,0.656503,-0.43353,82,42.18,14.59547805,2.2095,1116281,1270212.707,6
KFYP,KraneShares CSI New China ETF,0,0,0,62,42.225,32.17095806,23.1,42309.35484,13499.41935,5
BHLB,Berkshire Hills Bancorp,24.862422,1.306642,1.707396,92,42.25,31.06978261,22.6,3366943.717,808865.2174,7
MYRG,MYR Group,18.341857,1.919174,1.911475,121,42.26,23.6646281,9.46,2412233.066,2693425,10
GCH,大中华基金,3.3928,0.95612,3.645956,252,42.26,12.44570833,3.63,1119095.5,1453682.54,21
PMR,PowerShares ETF Trust Dynamic Re,23.754773,1.156458,1.784976,155,42.2759,25.69638258,10.8,247832.2179,709592.2078,12
ARTNA,自流资源,25.931972,2.221587,1.47,252,42.34,19.14540873,8.0567,335928.4286,119098.0159,21
EZM,WisdomTree MidCap Earnings Fund,0,0,0,139,42.37,23.61445827,8.12,1603020.529,743252.1739,11
