,code,name,bvps,0,1,2
419,002592,八菱科技,7.56,12.78,23.4,0.8309859154929577
420,000733,振华科技,9.02,13.2,11.07,-0.1613636363636363
421,002401,中远海科,2.74,9.91,39.0,2.9354187689202824
422,300120,经纬辉开,4.64,7.03,22.91,2.258890469416785
423,002919,名臣健康,6.71,36.42,35.26,-0.03185063152114233
424,600408,*ST安泰,0.72,1.66,10.11,5.090361445783133
425,002513,蓝丰生化,7.53,6.64,53.55,7.0647590361445785
426,600340,华夏幸福,10.1,23.9,8.96,-0.6251046025104602
427,300645,正元智慧,8.14,32.0,28.64,-0.10499999999999998
428,600322,天房发展,4.03,4.99,12.09,1.4228456913827654
429,600497,驰宏锌锗,2.79,5.0,13.95,1.7899999999999998
430,002184,海得控制,4.49,11.68,19.05,0.6309931506849316
431,300212,易华录,6.27,23.0,26.0,0.13043478260869565
432,300720,海川智能,5.94,33.5,33.43,-0.0020895522388059786
433,300311,任子行,1.82,7.97,16.08,1.0175658720200753
434,002088,鲁阳节能,5.49,13.85,25.9,0.8700361010830324
435,300240,飞力达,2.96,5.89,29.5,4.00848896434635
436,300428,四通新材,2.52,11.39,39.48,2.4661984196663735
